industry,cleantext,rating
Airport,"(Translated by Google) Excellent place, mega clean, super tidy, everything identified, it&#39;s huge but with time you arrive at your boarding. I leave photos of terminal A that we got from Delta. (Translated by Google) Excellent place, mega clean, super tidy, everything identified, it is huge but with time you arrive at your boarding. I leave photos of terminal A that we got from Delta.",5
Airport,Wonderfully put. Google is very well organized in all that they do.,5
Airport,"Easy to navigate
Especially using the train between terminals",5
Airport,Really like the fast lines the cleaning bathrooms and the restaurants here,5
Airport,"Super user Friendly, compared to other airports",5
Airport,Staff are very polite and helpful,5
Airport,The staff were nice and helpful.,5
Airport,I have traveled through Hartsfield- Jackson International Airport for almost 30 years. They move more people than anyone and they do it very well!!,5
Airport,"Easy in and out. Great free WiFi. Clean, bright.",5
Airport,"The airport is a unique layout, think of it as a square with arms extending out. Simple to get around. Great selection of restaurants and shops to please everyone.",5
Airport,"Very nice airport.  Easy signs to read.  Not too big, but big enough.",5
Airport,It's so big and extremely busy BUT very well organized. I have to park in the ATL West parking lot.  Be sure you remember where you parked. To get to the airport you must take the Sky Train.  The lot is just outside the main airport. Just be ready to walk your butt off and pack your patience.  The staff will help you every step of the way.,5
Airport,"(Translated by Google) The best!!!

(Original)
El mejor!!!",5
Airport,"Such a beautiful, clean, friendly airport",5
Airport,Surprisingly pain-free. Staff was helpful and courteous. Lines and procedures moved quickly and efficiently. No complaints!,5
Airport,The workers were all kind and helpful . Thank you,5
Airport,"(Translated by Google) A beautiful place

(Original)
Un lugar hermoso",5
Airport,"EVERY SINGLE STAFF MEMBER, NO MATTER THEIR JOB TITLE, WAS FRIENDLY, ACCOMMODATING, AND JUST PLAIN NICE!!!!",5
Airport,"This airport is one of my favorite! Not only because i have access to two of the lounges, but because it's huge with a great selection of shopping and food options. I kinda wished I had a longer layover to enjoy everything this airport had to offer. The skytrain also comes by frequently and will take you from Concourse A to F and back within 10 minutes.",5
Airport,"First time flyer from this airport and what a pleasure. Even though I have not flown in over 20 years, I don't ever remember the airports being this nice and clean. Automated check ins and when there was a problem someone was there ready to help me.   Enjoyable trip all the way around!",5
Airport,"The airport is very clean, the tram is efficient and comes quite frequently.  I was able to get in and out of the airport with ease and in less than 15 minutes from the moment I deplaned.",5
Airport,Quick in and out! Well posted signs. I'm not even from here and it was pretty easy!,5
Airport,In and out one of the easiest airports ever and alot of parking,5
Airport,Always a decent experience at this airport.,5
Airport,Exciting airport with lots & lots of flights!! Friendly people as far as I am concerned!!,5
Airport,Security check went seamlessly!,5
Airport,"This airport is huge. If this is your first or second time at this airport, it might seem overwhelming, but the more you come easier it gets. Gates A & B are upstairs C,D,E,F are downstairs tourist attractions with a lot of history.",5
Airport,Huge and a lot of restaurant selections.,5
Airport,"(Translated by Google) With easy-to-understand directions, welcoming boarding areas (Original) With easy-to-understand directions, welcoming boarding areas",5
Airport,It was breeze through checking in! One of the most efficient airport in the world!,5
Airport,There is no place like Atlanta's Hartsfield-Jackson Airport.,5
Airport,Hello I would like to commend Mr Kirby Frazier for helping me find my mother whom is disabled. He was off work and helped me find my way around the airport May God continue to bless you my brother. Also the young lady whom I dont know her name helped me get her in the car she was one directing the traffic I guessing a security guard bless you my sister,5
Airport,A great airport and easy to get from terminal to terminal,5
Airport,Car rental is easy and convenient..the buses are quick.  Nice restaurants.  Easy to find your way.,5
Airport,"(Translated by Google) Nice, take the train to move between the terminals (Original) Nice, take the train to move between the terminals",5
Airport,Probably one of these easiest airports to navigate through.  The staff at the Chili's were super nice and quick with service. Super nice airport.,5
Airport,"(Translated by Google) It has improved a lot in the last decade. Electronic service, terminal 3 brand new. My experience was very good. I recommend (Translated by Google) It has improved a lot in the last decade. Electronic service, terminal 3 brand new. My experience was very good. I recommend.",5
Airport,"Been going here for decades.  Always busy. But, not like Friday night. Insanity. But, of course, they run it like clockwork, no stress.  One of the best executed management and team operations in the world.  Just excellence.  ATL is the standard for America work ethic and management. I wish other airports were even close to the quality of team.",5
Airport,Convenient gateway airport to New England. Clean. Nice to have the Sheraton hotel connected.,5
Airport,Clean efficient airport. One of the better larger airports.,5
Airport,I have been to a lot of major cities airports and one think is certain. Atl is one of the best airports you have. A few down sides is it's hugh because of it size but once you know the layout it's great.,5
Airport,"(Translated by Google) Very organized and systematic (Original) Very organized and systematic,",5
Airport,"One of the better airports in America. Clean, organized, clear signage, excellent cross terminal transportation.",5
Airport,Always something to see at the worlds busiest airport.,5
Airport,Nice Airport having superb facilities,5
Airport,"Great service! Customs were fast and kind, security check with no major waiting period. Transportation from international to domestic gate was fine. No major shop selection but who cares. Would recommend!

Transition time International Arrival to Domestic Connection around 60 minutes.",5
Airport,"Pretty good as far as airports go. Lots of food option, clean, and typically fast lines.",5
Airport,staff was friendly and the car was clean tidy and knowledgeable,5
Airport,"Love that airport.  Always clean, calm and relaxed, quick, and great restaurants. I prefer flying out of it than going to SF.",5
Airport,Good and there were very nice to help you,5
Airport,"(Translated by Google) Very good service, I had to travel on May 10 and for me the respect for that day (Mother&#39;s Day) was beautiful, a lot of kindness and professionalism... Excellent (Original) It was time to travel on May 10 and for me the respect for that day (Mother&#39;s Day) was beautiful, a lot of kindness and professionalism... Excellent",5
Airport,Easy airport to get in and out of,5
Airport,Immaculate and easy to navigate. Really friendly staff.,5
Airport,One of the most well put together airports that I’ve ever flown through. It’s breath taking. The rental car area is magnificent. On top of all Atlanta is beautiful,5
Airport,Very clean and efficient little airport.,5
Airport,Easy airport to navigate around..,5
Airport,"Basically only flown out of terminal B which is really nice. Never have to wait in baggage or security line very long. Bathrooms are always clean and I mean clean. You don't have to put on muck boots to enter. Really awesome airport, my favorite by far in my little experience.",5
Airport,Shuttles run all the time with little wait time. 10 dollars a day.,5
Airport,"This is an absolute giant of an airport! I grew up with a dad as a pilot, we traveled a lot, this is the biggest airport I’ve ever been in!",5
Airport,Very easy to navigate. And just a massive but cool airport,5
Airport,It was the first time in that Airport and the people were fantastic.,5
Airport,Best airport in the world. Tons and tons of direct flights.,5
Airport,(Translated by Google) Super good and very big (Original) Super good and very big,5
Airport,I had a fun day today because I went on first class today and I went to Las Vegas the pilot told me to fly the plane all the way there it was a frontier pilot,5
Airport,"Very smooth, good food, everyone was very polite.",5
Airport,Pretty cool airport ! Lots of good eats,5
Airport,Lots of food options when waiting for a connecting flight.,5
Airport,The airport is busy. If you have a connecting flight give yourself time (at least an 1.5 hours. There is a lot to see in the airport if you are there for awhile. I've always had a pleasant experience.,5
Airport,"Easy to get around, helpful attendants.",5
Airport,Aside from all of the Vikings gear this Packer girl from Texas was super happy! What really sold me was the Prince store. 😍 I was way to excited to see that! Smack Shack was delicious and I found some cute souvenirs to bring home.,5
Airport,Not busy and TSA was a breeze.  Were your slip-ons or sandals for an easier time.,5
Airport,Convenient airport! No stress flying into or out of Bradley.,5
Airport,Always a pleasure to fly out from this airport and to land. Clean and efficient,5
Airport,"(Translated by Google) Tidy, huge, but well signposted (Original) Tidy, huge, but well signposted",5
Airport,"(Translated by Google) Excellent

(Original)
Excelente",5
Airport,"Modern and clean, large but easy to navigate",5
Airport,The best way toboard..easy process followed by great sky club with outside patio and tasty food.,5
Airport,Nice clean airport with clear signs posted everywhere.,5
Airport,"Excellent layout. Any lounge or gate is quickly accessible without exiting security. This alone makes it a treasure. With abundant water bottle filling stations and dedicated TSA precheck lanes, it tops the other airports in the US easily.",5
Airport,positive interactive experience,5
Airport,a very big airport and a very nice airport one of the best I've ever seen magic going on at that airport.,5
Airport,"I love this airport. Really easy to get in and get out. Only 15 mins from the downtown. They have Clear and TSA Precheck lanes. If you have AMEX platinum, they have an Escape lounge which you could use.",5
Airport,"One of his favorite airports since he loves the plane train! Always clean, staff is friendly, lots of bathrooms and water fountains.",5
Airport,International side has a kool vintage lunch box display.,5
Airport,Very easy to locate your boarding gate and customer service was excellent.,5
Airport,(Translated by Google) Very intuitive and organized! (Translated by Google) Very intuitive and organized!,5
Airport,"Beautiful airport with great signage. All the staff I encountered were eager to help, knowledgeable and courteous. Delta Airlines terminals",5
Airport,Easy to navigate and lots of good food options. 😋,5
Airport,Easy airport to get in and out of,5
Airport,"Bustling, but becoming! Very easy to get from one terminal to the next. Extremely hospitable staff...a must travel to hub  connecting to the rest world.",5
Airport,No issues thru security or bag check today.,5
Airport,"Small little airport, very polite employees and people there. I enjoyed the beautiful replica of Mark Twain’s House made of Legos.",5
Airport,"Huge,  but great airport. Loved the Shake Shack. Wheelchair help was excellent!",5
Airport,"concourse d seemed to be 717 heaven 🤩 • 8/29/22

delta atlairport #717 #boeing717 #boeing #boeinglovers #md95 #madpup #atl #atlanta #deltaairlines #delta #n949at",5
Airport,Nice airport. Friendly staff so far,5
Airport,Very clean and spacious airport. TSA is always super quick and they even have relaxation dogs that you can pet before your flight!,5
Airport,Quickly went through with a service dog who performed his duties with class,5
Airport,"ATL is nice and clean airport. Plenty of food options. Quick train service between terminals. However, would recommend the walk especially between A and B if you have a kid with you.",5
Airport,I really enjoyed the parking lot where you can watch the airplanes and the cellphone lot.  The arrival pickup area at 5:30 pm on Friday was absolutely crazy.  I will never pickup anyone at Terminal 1 using that area.  I will pickup folks on the departure area.,5
Airport,"I had the best experience with Delta.
My son and daughter met with the pilot and took pictures. One of the pilot gave his seat to my son.  The other pilot gave him a card and a tag.
Thank you God, Flight attendant Leterio ( he asked my son to meet the pilot), and Thank you Delta for an incredible time.",5
Airport,Shuttles out of West Economy lot was seamless. Great driver. I always give myself 2 hours before departure to make sure I have wiggle room in case of any unforeseen circumstances. I like to either fly really early or red eyes. Makes checkin and finding coffee ☕️ really easy to do. Close to my home so I rather fly in and out of SMF.,5
Airport,Quite a place these days! Huge and BUSY! TSA Pre was great.,5
Airport,"It was a very pleasant experience. New, clean, spacious and not overloaded.",5
Airport,"(Translated by Google) Handsome

(Original)
Hermoso",5
Airport,"This was a very smooth flight on AA from Dallas to Bradley. Arrived at 11:00 p.m. to a very quiet and clean Bradley International Airport. I love this Airport because once I am here, I am home.",5
Airport,Caribou coffee in terminal E is amazing,5
Airport,"(Translated by Google) It is very big but it has good signage that makes it impossible for you to get lost, clean and tidy, there are several food courts with affordable prices (Original) It is very big but it has good signage that makes impossible for you to get lost, clean and tidy, there are several food courts with affordable prices",5
Airport,Clean and easy to navigate. Good shops not too expensive.,5
Airport,"Clean & QUIET airport! It has a very large, efficient rental car center. Appreciated seating at the gate that had ample cup holders and outlets and reliable free wifi, which made sipping on coffee and knocking out some work on the laptop before boarding a breeze.",5
Airport,"So quite, coming from Atlanta it was a HUGE difference",5
Airport,One of the largest yet well organized airport with very helpful and caring staff.,5
Airport,They did a great job keeping the line moving at the security checkpoint,5
Airport,Clean & excellent food selections,5
Airport,"Great food outlet choices and many of them.  Very efficient means to move from terminal to terminal. Upgraded and clean bathrooms. For the busiest airport in the US, it is so very easy to get around.",5
Airport,Had a nice stay in between flights. Great shops to go through. Making the layover go by a lot better.,5
Airport,"05:30 am flight with rental car drop-off, no problems, very smooth.",5
Airport,Love this airport inspite of the size. The staff has been both patient and friendly. Main feedback I have is with the tv's all throughout. No one is watching them so it's basically not really pollution,5
Airport,"Skip all the traffic of the Bay & head to Sacramento International Airport (SMF) when flying to & from northern/central California. It’s a beautiful airport. There is a free waiting area to park if you are picking someone up. Drop off & pick up exceptionally quick. If you have to loop around terminals, it’s quite simple. Hourly/Daily Paid Parking always available.",5
Airport,Great airport to have a layover at,5
Airport,"Clean, helpful workers, organized, easy to navigate.",5
Airport,My Name's Google family and I working 10 years as a volunteer and I support the great People of my country and I very happy to do that and also I am very active person so you have to support me,5
Airport,"(Translated by Google) Excellent airport.

(Original)
Excelente aeropuerto.",5
Airport,It's an airport.  Seems clean and organized.  Staff was very helpful.,5
Airport,"Easy to navigate, well managed facility.",5
Airport,Great airport.  Clean.  Lots of food choices!  Several updated areas too!,5
Airport,Well operated airport.  Could use a little more signage for the train stops,5
Airport,"(Translated by Google) excellent and organized

(Original)
Excelente y organizado",5
Airport,"Nice airport, good community outreach efforts and very nicely organized.",5
Airport,Easy to navigate airport regardless of size. Love this being my home airport.,5
Airport,"This is my favorite airport by far, the food was great, the service was good, the boarding was nice, and the bathrooms have an interesting feature where you can rate them. GOOD AIRPORT",5
Airport,"Unfortunately, I have a disability and the airport staff was quite accommodating. The airport is clean and well maintained.

Because of code sharing, Delta & KLM used Amsterdam Schiphol - avoid Amsterdam, it's a shot hole.",5
Airport,"As someone from NJ & New York metro area, I am very impressed by this airport. I use Newark International Airport all the time and I dread going there. However, if Newark airport was replaced by MSP, I would have loved going to the airport.",5
Airport,"(Translated by Google) Very big but well organized

(Original)
Muy grande pero bien organizado",5
Airport,So easy and convenient.  Clean too.,5
Airport,I sat overnight in the airport and felt very safe and comfortable. Didn't need my blanket at all.,5
Airport,"Very nice airport.  I traveled out of the A concourse.  Fast TSA pre with Clear.  Decent stores/restaurants, clean bathrooms, wide hallways.  👌",5
Airport,"Smooth, safe driving and parking. Clean.",5
Airport,Clear through security! Took 3 minutes 👍,5
Airport,Nice and clean airport. Nice facilities and corteous staff.,5
Airport,"Easy to navigate airport & even when having to change concourse for a connection, the underground tram is quick & efficient.",5
Airport,Required w/c assistance. Service wonderful from curbside check in to my seat on plane. Thank you.,5
Airport,Staff was great when I asked for help.,5
Airport,Staff member I spoke to were really helpful after along day of traveling from the UK 👍👍👍👍👍,5
Airport,Great design. Awesome experience. Great food.,5
Airport,You gotta love the World's Busiest Airport!!!,5
Airport,Lots of niceplaces to eat help wheelchair pushers and electric cart drivers who go out of their way to help.,5
Airport,The Atlanta airport is so cool! Lots of different food options and the Plane train is very cool!,5
Airport,(Translated by Google) everything was fast (Original),5
Airport,"Beautiful, Huge airport 👍❤️",5
Airport,(Translated by Google) Excellent my stay. First class care. (Translated by Google) My stay was excellent. First class care.,5
Airport,The staff was amazing! So kind and helpful,5
Airport,"Great, haven't flown in years, but I'm over it now..😆",5
Airport,Good set up... easy to go from domestic to international.   Any airport that doesn't lose luggage and is easy to maneuver is good.   Plenty of eating options if needed.  Delta is a great airlines.,5
Airport,The employees are really helpful at Volaris,5
Airport,"(Translated by Google) Excellent

(Original)
Excelente",5
Airport,It was son's first time on a plane we flew from Atlanta Airport to LAX we had a blast we were headed to Disneyland California,5
Airport,Nice clean place. Been a few years since I’ve had a lay over here. definitely fast paced environment.,5
Airport,"(Translated by Google) 👍🏻 Excellent

(Original)
👍🏻 Excelente",5
Airport,"Flew in from Vegas, lots of travelers but well organized. We got out luggage promptly. Recommend Security Airport Parking, we parked our car there, and they shuttled us to & from the air porting NO hassles looking for parking, very convenient!",5
Airport,"Lovely place, very large, sprawling  - problematic if your gate get changed at the last minute...",5
Airport,One of the best airports in the world,5
Airport,"Extraordinarily friendly employees,  super fast (like 10 minutes fast) security, and CLEAN! Smokers will appreciate the 5 minutes from E gate to the smoking area!",5
Airport,Spacious and quite an experience of traveling on the international terminal versus the domestic terminal.,5
Airport,"My go to AirportIf you have just gotten off the tram to Go to the security checkpoint line and see there is not a line...???My friend, you've arrived to your new Favorite airport!!!!!Yeap that's how it goes down here at Sacramento international",5
Airport,"(Translated by Google) perfect 👌

(Original)
Perfecto 👌",5
Airport,Very active but with excellent transportation options.,5
Airport,"FABULOUS.  NO BOTHER,  NO ISSUES",5
Airport,Very Clean and easy to Navigate through.,5
Airport,"clean, quick, lot of options for food/drinks. great place especially for all things Delta.",5
Airport,Always a great place to enjoy breakfast or brunch and very beautiful view,5
Airport,"Got to cover the new Whataburger opening in Terminal A at the San Antonio International Airport  - a lot of changes at the airport, and a lot of new cool things coming.",5
Airport,Flight was on time and takeoff was smooth,5
Airport,Best airport in the world! When I landed in Los Angeles it was a little disheartening because people just don't have the courtesy and charm like they do in Atlanta.,5
Airport,"Clean, bright, friendly by comparison to most airports",5
Airport,"It is a very nice airport.  It has well connected terminals,  with lots of food options, nice and clean bathrooms and well labeled gates.",5
Airport,Flew in from Belize.  Had a long walk to immigration.  Long lines moved fast.  Delta agent was very helpful and found me an earlier flight home,5
Airport,Flew in from Belize.  Had a long walk to immigration.  Long lines moved fast.  Delta agent was very helpful and found me an earlier flight home,5
Airport,My favorite airport I’ve been to! Clean easy to navigate and the people are very nice.,5
Airport,The jungle walk between terminals is the best,5
Airport,Huge airport but TSA lines were manageable,5
Airport,Great airport once you learn the layout.,5
Airport,"(Translated by Google) Excellent airport. 🥰👍👍

(Original)
Excelente aeropuerto. 🥰👍👍",5
Airport,Always clean and the staff is friendly,5
Airport,Always fly Southwest have never had an issue here. Pretty clean airport.,5
Airport,"What really matters at an airport? The toilet, of course! Recently remodeled facilities make me proud of my hometown airport.  Excellent design standards prevail at MSP: bright, clean and spacious with requisite privacy, well maintained. The Men's had a butterfly motif. That's World Class, bro.",5
Airport,"As airports go I like this one a lot.  Good food, spread out but has a tram in it.  Might be biased since I am from Minnesota but I dig this airport.",5
Airport,"Easy to follow signage, many bars and restaurants. Nice airport.",5
Airport,The best flughafen in the country,5
Airport,"Clean restroom, easy drop off and pick up, good driving service to parking lots, convenient restaurant and lounges",5
Airport,"My happy place ☺️

You really should consider coming with me sometime 😊",5
Airport,"Construction as usual, but can still move around pretty easy.",5
Airport,Very easy Airport to pickup and drop-off.  Waiting area's are easy to find.,5
Airport,(Translated by Google) Very good. (Original) Really good.,5
Airport,"Huge but amazing. Clear signs, clean bathrooms, and lots of food choices. Can't ask for more!",5
Airport,Best Airport I been to and I been to a lot. TSA was responsible but not mean at all. People and workers there are friendly.,5
Airport,Delightful smaller airport with really nice people. That's MN!!,5
Airport,Flew in on Delta which is the hub for ATL. Large International Airport requiring shuttle rides inside Concourses to get from Terminal. Plenty of Delta Sky Mile Clubs spread throughout airport to relax and recharge. Great connecting airport to anywhere in the world. Plenty of food choices in courtyard areas.,5
Airport,If you're a Terminal 2 you could take the train from Terminal 2 to Terminal 1 and you look for bus station in Terminal 2 and follow the sign from there courtyard Marriott Hotel beautiful hotel excellent customer service I stay there all the time when I'm in Mexico City.,5
Airport,"Friendly staff there. Clean environment, We got in and got out fairly quickly. Arrive early and pack plenty of patience!",5
Airport,Thank you atlairport for having today! We enjoyed getting to celebrate Hispanic Heritage Month with all of your passengers! #atlanta #atlairport #hartsfieldjackson #airport #mariachi #gamariachi #georgia #mariachiatlanta #mariachibuhosdeoro #mariachibuhosdeoroatlanta #airportmusic #atlantamusic #atlviolinist #mexicanmusic #atlantamusicians,5
Airport,"Got to experience MSP on our way to Calgary, and we were really delighted... The airport has a masterfully laid-out complex of open lounges, waiting areas, air train transfers, and retails stores (including a tribute Prince shop), a well-curated list of local and chain bars and restaurants, easy-access washrooms, and more! You can also check out my review/feature on YouTube (armanikolas).",5
Airport,Easy to follow directions to get you where you need to be.,5
Airport,Just went to Hawaii for a week parked truck for 7days for $90. T.S.A was not a problem and didn't loose any baggage. overall good trip,5
Airport,Very nice airport! Clean and friendly staff! Got me where I needed to go safely!,5
Airport,"Nice airport,  Haven't seen alot of it, but very clean... rental car structure is very nice and convenient...",5
Airport,"This is probably one of the most cleanest airports that I have ever flown through. It is easy to negotiate your way through the airport, everything is  wry clean and well maintained, and there are plenty of people to give you directions. The restaurants are not crowded and there are plenty of things to do while waiting for your flight.",5
Airport,"Fast great customer service, clean and safe.",5
Airport,"Friendly airport staff, plenty of signage and common areas to include restrooms are clean.",5
Airport,One of the best places in the world,5
Airport,Nice airport with lots of options for food and drink. Well organized and well labelled. Give yourself extra time as you may need to take a sky train to a different terminal depending on your flight. On time flights for our connections which was really nice to have!,5
Airport,"Easy breezy getting through this little airport staffed by a bunch of kind people. Everything you need and a couple things you don’t makes this an A1 airport in my book.

Plenty of space to limber up, or stretch or whatever this guy was doing.",5
Airport,(Translated by Google) Excellent service and attention (Original) Excellent service and attention,5
Airport,"Great airport experience. Check in with Frontier without a hitch. Great variety in duty free, food, and shopping.",5
Airport,Terrific airport beautiful design easily accessible to every terminal,5
Airport,(Translated by Google) Very nice for something is one of the largest in the world (Original) Very nice for something is one of the largest in the world,5
Airport,Extremely polite employees. Very helpful,5
Airport,Pretty neat. Quiet at night and I was able to put my feet up and rest during my layover. Delta was very nice and offered a complimentary hotel room for a four-hour delay due to Hurricane Ian.,5
Airport,"(Translated by Google) I'm lovin 'it

(Original)
Me encanta",5
Airport,Very nice experience flying into BDL. Rental car pickup was super easy and fast.,5
Airport,"The people are a highlight! Everyone I encountered was helpful, understanding, and patient. The facilities are clean, efficiently designed and maintained.",5
Airport,one of the biggest airport in USA. it is very organized and packing is very cheap.,5
Airport,Good airport to fly from and very reasonable parking,5
Airport,"It is the busiest airport in the world, large but manageable. Clean, great amenities and easy to navigate with the plane train. Use the plane train when you can to pop between concourses",5
Airport,I arrived at 10 pm everything was a fast process,5
Airport,Clean airport. And plenty of good signs for navigation.,5
Airport,"The more I fly through different airports, the more I appreciate MSP. It's well organized, bathrooms are perfectly clean, and they do a great job keeping you updated on flight status, unlike many other airports where you can't find the information you need when you need it.",5
Airport,Very very friendly atmosphere and equally excellent customer service and very courteous staff,5
Airport,Short lines + convenient parking,5
Airport,No problems short layover but made it,5
Airport,"I've traveled through this airport multiple times over the years and the environment is nice. I enjoy the restaurants, shopping and amenities this airport has. Other than weather delays, I've had convenient service.",5
Airport,"If you have TSA precheck, this is literally the easiest airport ever. Lines are consistently nonexistent. But the metal detectors are set to hyper sensitive. Free WiFi available at the airport and it's ok. Overall Cleanliness: above average",5
Airport,"Great Airport, both literally as figuratively speaking. With the train in the basement, a 2 hour layover typically is sufficient in between domestic and international flights",5
Airport,I enjoy harts field and Atlanta.,5
Airport,"(Translated by Google) Pretty neat and clean.

(Original)
Bastante ordenado y limpio.",5
Airport,Probably the easiest large airport to get around in in the US.,5
Airport,I love this air port. Less crowded . Less traffic also chepear to fly here than jfk.,5
Airport,Very convenient and smooth going,5
Airport,It's a beautiful airport. Quite large but great signs and directions everyone was really nice and made getting around. Food and beverages options were plentiful. It was a great experience.,5
Airport,Great airport.  Very easy to navigate drop off and pick up.,5
Airport,"(Translated by Google) Gigantic

(Original)
Riesig",5
Airport,Great airport even though TSA was a little slow. Besides that it was good airport to fly in and out of,5
Airport,This is a great airport and very efficient and easy to get around and the tram is a nice ride to the terminal.,5
Airport,Most wonderful Airport in these United States...,5
Airport,Great airport and professional service.,5
Airport,Very modern airport with all the amenities. Easy to read signs and directions.,5
Airport,(Translated by Google) Super organized and fast arrival (Original) Super organized and fast arrival,5
Airport,"Convenient, clean and modern! Bradley is a great airport to fly in/out of. Parking on and off site is very reasonably priced and the facilities are well maintained. Only a select few breakfast spots are open super early in the morning so bringing a snack along for the trip is the best way to roll out of BDL",5
Airport,Beautiful airport.  Very quick to get through security.,5
Airport,"I fly through here oretty regularly and it's always  pretty quick. 20 to 30 minutes at most for TSA. And they offer plenty of food and drink choices,  plus any last minute things like headphone.",5
Airport,Easy to get around and find your way about...,5
Airport,One of the cleanest and nicest airports you'll ever fly through. Especially considering it's large size and relatively high volume of traffic.,5
Airport,Best airport in the Midwest!  Great restaurants and shopping. Always very clean.  Nice job Minneapolis!,5
Airport,The toilets are awesome! Flush great!👍👍💩,5
Airport,"Nice new and clean airport,  you never feel like it's too big when you have to navigate it. Easy enough to get picked up by a taxi or an airport shuttle as well. Love the feel of this airport.",5
Airport,(Translated by Google) Very well. It is the best for traveling. Safer. (Original) Very good. It is the best for traveling. Safer.,5
Airport,(Translated by Google) First class facilities guide you super well excellent place (Original) First class facilities guide you super well excellent place,5
Airport,"Great airport that is just as busy as it claims to be! However can't beat the size and amount of flights, and I love that the airport is decorated well enough that trips inside feel fun instead of stressful! Highly refommend",5
Airport,"Still my favorite airport. Shops, services and restaurants so many to choose from, so many options and the Spa Bar!! Woohoo!!!",5
Airport,"(Translated by Google) excellent 👌

(Original)
Excelente 👌",5
Airport,"(Translated by Google) Clean, modern airport. Lots of choices at this restaurant. Perfect for correspondence. (Original) Clean, modern airport. Lots of choices at this restaurant. Perfect for correspondence.",5
Airport,"Love this airport  ! After the nightmares of getting into/out of SFO and sometimes SJC,  Sacramento airport is a welcome change",5
Airport,Traveling internationally is a much better experience than local.  The front desk people were good. If you are someone who gets anxious to travel etc. I tell you International airport in ATL is very good.,5
Airport,Staff was extremely friendly and professional.,5
Airport,Very well organized and easy to get through!,5
Airport,"My favorite airport so far. I come from Atlanta where everything is always packed and busy. Here, there is space to sit at the gates, and the lines are never too long for food. Terminal 2 is also much less busy and has value parking, so consider flying one of the airlines from there if you don't want to spend as much time at the airport.",5
Airport,"Very clean, organized and quick",5
Airport,"Flew in  at 8pm and was amazed to find an almost empty airport LOL.
Great timing for me ...no line for the restroom !",5
Airport,Was a good place to travel to and from.  Was a great show there and I am sure lots more!,5
Airport,"This airport is always very clean and the staff is friendly. For its size it’s easy to navigate and no matter how busy it is, traffic seems to flow smoothly. Also one of only the airports with comfortable seating you can actually lay down on when you have a long layover, which makes a huge difference. One of my favorite airports.",5
Airport,Very nice airport. Easy for an out-of-towner to navigate.,5
Airport,Best airport and clean.  Loved flying Delta.,5
