processed_sentence,mainkeyword_list
"the georgia aquarium truly stands as one of the premier destinations for aquatic enthusiasts and animal lovers alike. as one of the largest aquariums in the world, it offers an awe-inspiring experience that should not be missed. there is so much to do and see at the georgia aquarium that it guarantees a fulfilling and captivating visit one of the highlights for me was the dolphin show, where i witnessed the incredible intelligence and agility of these magnificent creatures. the show was not only entertaining but also served as a reminder of the importance of marine conservation and the remarkable abilities of dolphins it was a truly unforgettable experience that left me in awe another delightful attraction at the georgia aquarium was the seal show watching these playful and graceful animals showcase their skills and interact with their trainers was a joyous spectacle the show provided an up-close encounter with these captivating marine mammals, and it was evident that they were well-cared for and loved by their dedicated caretakers. i highly recommend that everyone seize the opportunity to visit the georgia aquarium it is a place where you can witness the wonders of the ocean, learn about marine life and gain a deeper appreciation for the importance of conservation efforts. the aquarium offers a unique and educational experience that is suitable for visitors of all ages and will leave you with lasting memories and a renewed sense of awe for the beauty and diversity of the marine world ",['aquarium']
"the show was not only entertaining but also served as a reminder of the importance of marine conservation and the remarkable abilities of dolphins it was a truly unforgettable experience that left me in awe another delightful attraction at the georgia aquarium was the seal show watching these playful and graceful animals showcase their skills and interact with their trainers was a joyous spectacle the show provided an up-close encounter with these captivating marine mammals, and it was evident that they were well-cared for and loved by their dedicated caretakers. ",['Attraction']
"there is so much to do and see at the georgia aquarium that it guarantees a fulfilling and captivating visit one of the highlights for me was the dolphin show, where i witnessed the incredible intelligence and agility of these magnificent creatures. the show was not only entertaining but also served as a reminder of the importance of marine conservation and the remarkable abilities of dolphins it was a truly unforgettable experience that left me in awe another delightful attraction at the georgia aquarium was the seal show watching these playful and graceful animals showcase their skills and interact with their trainers was a joyous spectacle the show provided an up-close encounter with these captivating marine mammals, and it was evident that they were well-cared for and loved by their dedicated caretakers. ","['dolphin show', 'Entertainment']"
"the sheer size and diversity of the exhibits are truly impressive, providing endless opportunities for exploration. ",['Exhibits']
"as one of the largest aquariums in the world, it offers an awe-inspiring experience that should not be missed. the show was not only entertaining but also served as a reminder of the importance of marine conservation and the remarkable abilities of dolphins it was a truly unforgettable experience that left me in awe another delightful attraction at the georgia aquarium was the seal show watching these playful and graceful animals showcase their skills and interact with their trainers was a joyous spectacle the show provided an up-close encounter with these captivating marine mammals, and it was evident that they were well-cared for and loved by their dedicated caretakers. the aquarium offers a unique and educational experience that is suitable for visitors of all ages and will leave you with lasting memories and a renewed sense of awe for the beauty and diversity of the marine world ",['Experience']
the aquarium offers a unique and educational experience that is suitable for visitors of all ages and will leave you with lasting memories and a renewed sense of awe for the beauty and diversity of the marine world ,['Experience']
"i highly recommend that everyone seize the opportunity to visit the georgia aquarium it is a place where you can witness the wonders of the ocean, learn about marine life and gain a deeper appreciation for the importance of conservation efforts. the aquarium offers a unique and educational experience that is suitable for visitors of all ages and will leave you with lasting memories and a renewed sense of awe for the beauty and diversity of the marine world ",['Groups']
"the show was not only entertaining but also served as a reminder of the importance of marine conservation and the remarkable abilities of dolphins it was a truly unforgettable experience that left me in awe another delightful attraction at the georgia aquarium was the seal show watching these playful and graceful animals showcase their skills and interact with their trainers was a joyous spectacle the show provided an up-close encounter with these captivating marine mammals, and it was evident that they were well-cared for and loved by their dedicated caretakers. i highly recommend that everyone seize the opportunity to visit the georgia aquarium it is a place where you can witness the wonders of the ocean, learn about marine life and gain a deeper appreciation for the importance of conservation efforts. ",['Others']
always crowded but you expect nothing less at a major airport as such i m frequently there along my travels. ,['Crowd']
"so i m used to this big airport they have great food service, and all great customer service. ","['Restaurants', 'Staff']"
"translated by google very little signage for people, we were very lost and the people we went to for help airport employees were very unwilling to help us it and # 39; s a shame because it and # 39; s a big airport original people, we were very lost and the people we went to for help airport employees very unwilling to help us it and # 39; s a shame because it and # 39; s a big airport ",['Staff']
the airport is well connected taxi pickup point is right opposite to the arrival exit there are shuttle services to the domestic terminal and also to the marta station there are restaurants inside the airport ,"['Arrivals', 'Ground Transportation', 'Ground Transportation', 'Restaurants', 'Rideshare']"
"dint experience any rush during the immigration process, although our baggage arrived quite late. ",['Experience']
"plan ahead for long lines, bathroom breaks any quick bites. ","['Bathrooms', 'Crowd']"
took about 15 minutes to find parking spot. confusing to me to get to different levels on parking ,['Parking']
the animals all look like they re massively depressed they re practically begging use flash photography give me a reason please on top of this the staff wouldn t let me feed car batteries to the electric eels ,"['Animals', 'Experience']"
"i had more fun counting how many anime girls i saw on the walk here than at the aquarium all the enclosures are tiny, especially the penguins. ","['aquarium', 'coldwater quest']"
"but, could something be done about that insane walk from international arrivals and customs? ","['Arrivals', 'Customs']"
thanks marvin at starbucks cafe your friendly and professional service made our day ,['Staff']
lots of eateries and it is clean with friendly employees ,"['Cleanliness', 'Staff']"
on may 4th there were people dressed in star wars costumes the kids loved it the dolphins show is my favorite i have seen it a few times the sea lion show is ok lately it is been very busy saturday is the worst going at 8am is the best time to go ,"['crowd', 'Others']"
i took a train to speed me to my connecting flight had more than an hour to get there had only 20 minutes before boarding still an amazing airport ,['Wayfinding']
"traffic was pretty good today, they keep expanding to accommodate travelers and make it easy to get on and out in a timely manner. ",['Traffic']
"it is absolutely beautiful, but the price is way too high for a family of 4 ","['Experience', 'Price']"
"really really appreciated that the aquarium uses floor mats to designate wheelchair viewing areas prices in the gift shop were pretty exorbitant we did not opt to buy anything though there were several things we liked it did not feel right that a hoodie would cost more than an admission prices were hard to find on other things we wanted, so we put the items back and left empty-handed. ","['Accessibility', 'aquarium', 'Gift Shop']"
had a great visit pricey day even with a military discount. ,['Discount']
"appreciated qr codes for ease in show reservations could never get the one to order food ahead to work despite so many people, the pace and organization were good. ","['Entertainment', 'Food']"
"a bit crowded with year-end field trips, but still good. ",['Groups']
"ugh american airlines checkin, first class ticket line long wait coach line moved quicker but could not switch lines grumpy staff. ","['Airlines', 'Check In', 'Check In', 'Crowd', 'Staff']"
"just difficult to navigate a scooter or wheelchair through all that winding line area i will say however that inside the sea lion show those staff members were helpful in getting us safely to the handicapped area, and the staff up on stage were awesome for not allowing the sea lions to splash our side of seating due to electric scooters much appreciated : ","['Accessibility', 'aquarium', 'Crowd', 'Entertainment', 'Others']"
"small children probably like it, but there just doesn t seem like there s enough to see or do there for the price of it. it s such a huge place i think it just feels like so much wasted space inside on the day we went the outside staff were not helpful at all in directing us on where to go, how to get in if there s a wheelchair specific entrance etc. just difficult to navigate a scooter or wheelchair through all that winding line area i will say however that inside the sea lion show those staff members were helpful in getting us safely to the handicapped area, and the staff up on stage were awesome for not allowing the sea lions to splash our side of seating due to electric scooters much appreciated : ","['Accessibility', 'Staff', 'Staff']"
"small children probably like it, but there just doesn t seem like there s enough to see or do there for the price of it. it s such a huge place i think it just feels like so much wasted space inside on the day we went the outside staff were not helpful at all in directing us on where to go, how to get in if there s a wheelchair specific entrance etc. ",['Others']
overpriced overpriced honestly i feel like this place was overpriced for what s available. ,['Price']
had a great time visiting the atlanta aquarium with my son and grandson and family it is so big it takes a whole day to see everything ,['Atlanta']
try to buy chicago city pass and spend time: 3-4 hours ,['Discount']
very clean airport. they can really hustle alot people through that airport very courteous personnel restaurants were plentiful and good food ,['Restaurants']
this place is massive good thing they have the tram if you are in a rush or the moving sidewalks if you want to take it easy lots of food options and plenty of restrooms ,"['Bathrooms', 'Restaurants', 'Wayfinding']"
atl is always busy. it is well organized the biggest bottleneck is the drop off pick up area the security is a long line but moved fast a bit of a quirk with loading the trays to x-ray need to load and push the tray before going through scanner or else you will have to go back. ,['Crowd']
i am finally back in the a. the hartsfield-jackson atlanta international airport is insanely crowded as everyone is traveling for the memorial day weekend. ,['Holidays']
"rental car return was great, but i had difficulty finding the baggage check-in for american airlines. ","['Airlines', 'Check In', 'Check In']"
"the trip was great however, the employees at the shed were rude. those that talked about the stingray and surgeon touching were awful there seems to be no great customer interaction they re very monotone and don t appear to care what the customers need or ask for ",['Wild Reef']
translated by google there was only one dolphin show and they didn and # 39; t even warn original there was only one dolphin show and they didn and # 39; t even warn ,"['dolphin show', 'Entertainment']"
"it is a bit spendy, but now i know why fantastic views and an incredible variety of exhibits. make sure you stop here if you are in town for a weekend, or longer it is worth it ","['crowd', 'Exhibits']"
"easy to find the parking lot, shuttle and the gate. ","['Parking', 'Rideshare']"
but sometimes the line of tsa check very long and tired like labyrinth ,['Security']
very frustrating prior to a 10 hour flight with children security line was okay considering the amount of people but very unfriendly ,"['Crowd', 'Security']"
"usually, i would give 5 stars because the experience is always great. ",['Experience']
however today was a mess why is the international parking deck closed ` lot is full ' but you can see the sign showing that about 60 spots were still available traffic was horrible and maybe for future reference let people know before they get into the exit to get into the lot. ,"['Maintenance', 'Parking', 'Traffic']"
beautiful busy clean airport with tons of shopping and food galore the coffee bean was a nostalgic experience for me ,"['Cleanliness', 'Crowd']"
"george aquarium is always an amazing experience no matter how many times you go, i will never get tired of watching the whale sharks swim overhead in the tunnels or your walk up to the voyager tank ",['Experience']
"to delivery salt, we just can come at 23:00, hard dock if you are hookie do not come blind side or ask security to stop traffic and yoj stay on wrong way of the street to come in. ","['Parking', 'Staff']"
normally the airport does well with handling high traffic but the tsa was not staffed last night and there were 2 security lines open and the line was soon backed up. ,"['Security', 'Security', 'Traffic']"
"i love that they have the trains to get you across concourses fast constantly saw workers cleaning terminal seating areas, and the bathrooms have always been clean when i have gone. ","['Bathrooms', 'Cleanliness', 'Staff']"
atl is definitely a busy airport but they find a way to coordinate people and get them moving quickly. ,['Crowd']
there was construction this last time i was there which was not too bad but caused redirection for somethings- still easily navigated though. ,['Maintenance']
i love that the bathrooms are always clean and that it doesn t take long to get through tsa precheck. ,['Security']
kudos to the team that works with those folks that are in wheelchairs i had to drop my mother off to fly back to indiana this morning. ,['Accessibility']
"ran into traffic and made us late getting there with only 40 minutes until the flight left, they said they would do everything they could to make sure she made it back to the gate in time. they were alert the gate that she was coming they did a great job getting her through security and then onto the gate and she made it onto the plane with all of the craziness of the thousands of passengers coming in, all of them were very nice. ","['Flight Experience', 'Security', 'Traffic']"
really great experience for kids and adults the entire building is done in such an inviting and interesting way there s a big food court with bathrooms and a fabulous gift shop the stuffies are expensive but totally realistic and gorgeous and the d joints are great and have room for everyone to see. ,"['Bathrooms', 'Experience', 'Food', 'Food', 'Gift Shop', 'Price']"
there are sone interactive areas for kids and you can climb through a tube to see the penguins up close expect to spend a few hours here but very kid friendly ,"['coldwater quest', 'Experience']"
"this airport is huge and everything has long lones airlines checkin, baggage drop off and the tsa lines. we have global entry and even with tsa precheck the tsa process took us approximately 30mins i am positive that a later in the day flight, their tsa process would be much slower. ","['Airlines', 'Check In', 'Check In', 'Crowd', 'Security', 'Security']"
"this show was included with our admission to the aquarium, so with that being said it was a must-see show the dolphins were welltrained and entertaining. we stopped at soundings caf for a break from all of the beautiful scenery it was located in the abbott oceanarium on the ground level i purchased a strawberry fruit smoothie, a peanut butter cookie and a monster energy 16 fl. ","['Abbott Oceanarium', 'Abbott Oceanarium']"
"of course, after that i had to check out the beluga whale display. these whales were beautiful and they seemed happy in their environment i was glad to see that for my favorite display, i d have to go with the penguin display. they had rockhopper and magellanic as we went along, we stopped at the underwater beauty area. 99 the monster was 4 99, but crisp and refreshing this was a convenient stop. before we headed out, we stopped at the shedd aquarium store on the main level of the facility. it was a large store with a variety of items to choose from to give insight, i purchased a shedd aquarium mug a shedd aquarium enamel logo magnet and a shedd aquarium beluga keychain. ",['Abbott Oceanarium']
"before the entrance, there were strips of parking spots available that weren t highly expensive. from there, it was a small walk. unfortunately for us, the weather wasn t too friendly. after we entered the aquarium on the ground level, our tickets were scanned almost immediately. we took an elevator up to the main level after that there were plenty of displays to see at almost every turn i really enjoyed the pacific white-sides dolphin display. besides viewing displays all day, we did get to sit down for a bit at the dolphin show. this show was included with our admission to the aquarium, so with that being said it was a must-see show the dolphins were welltrained and entertaining. we stopped at soundings caf for a break from all of the beautiful scenery it was located in the abbott oceanarium on the ground level i purchased a strawberry fruit smoothie, a peanut butter cookie and a monster energy 16 fl. ",['Abbott Oceanarium']
"once i completed the purchase online, i was given an e-ticket with my tickets on a scannable code that displayed the date and time for my visit. that was convenient i also downloaded their app this aquarium was relatively close to me, for being what it is. ","['Application', 'Application']"
"if you take a trip here, savor it the penguins were my favorite if you take a trip here, savor it the penguins were my favorite i booked tickets for my significant other and i on their website. it was 85 90 for both of our tickets together, so it wasn t cheap. they had me choose a date and specific time to visit, so you should be aware of that i chose 9 am for our visit so we can get in early in the day. once i completed the purchase online, i was given an e-ticket with my tickets on a scannable code that displayed the date and time for my visit. that was convenient i also downloaded their app this aquarium was relatively close to me, for being what it is. ",['Application']
"the restrooms i used throughout the day were clean the whole place was in general, tidy and clean the customer service i had throughout my visit here was friendly. ","['Bathrooms', 'Cleanliness', 'Staff', 'Bathrooms', 'Cleanliness', 'Staff']"
"there, i checked out the spotted jelly lagoon jelly and blue blubber jelly display. they were so vibrant and each movement they made was astonishing to switch things up, we checked out the common musk turtle and western pond turtle display in a different area. close to them, we got to see more than one american alligator in the alligator lake display. that was a real treat for me i m now an alligator fan there was also a golden shiner, midas cichlid and red-eared slider display within the alligator lake display. ",['Caribbean Reef']
"besides viewing displays all day, we did get to sit down for a bit at the dolphin show. this show was included with our admission to the aquarium, so with that being said it was a must-see show the dolphins were welltrained and entertaining. we stopped at soundings caf for a break from all of the beautiful scenery it was located in the abbott oceanarium on the ground level i purchased a strawberry fruit smoothie, a peanut butter cookie and a monster energy 16 fl. ","['Entertainment', 'Entertainment']"
"dang, this was a unique experience. i didn t have any issues or encounter anyone with a bad attitude, so that was a plus overall this was a relaxing experience for my significant other and i to do as a couple. ",['Experience']
"oz drink the prices were a bit steep, but not intolerable for me. my order was completed relatively fast we sat down at a table that they had here the smoothie was thick, fruity and tasty the cookie was a good size and just as tasty. that was a relief, as it was 3. ",['Food']
"before the entrance, there were strips of parking spots available that weren t highly expensive. from there, it was a small walk. unfortunately for us, the weather wasn t too friendly. after we entered the aquarium on the ground level, our tickets were scanned almost immediately. we took an elevator up to the main level after that there were plenty of displays to see at almost every turn i really enjoyed the pacific white-sides dolphin display. ",['Others']
"99 the monster was 4 99, but crisp and refreshing this was a convenient stop. before we headed out, we stopped at the shedd aquarium store on the main level of the facility. it was a large store with a variety of items to choose from to give insight, i purchased a shedd aquarium mug a shedd aquarium enamel logo magnet and a shedd aquarium beluga keychain. ","['Others', 'Others']"
"if you take a trip here, savor it the penguins were my favorite if you take a trip here, savor it the penguins were my favorite i booked tickets for my significant other and i on their website. it was 85 90 for both of our tickets together, so it wasn t cheap. they had me choose a date and specific time to visit, so you should be aware of that i chose 9 am for our visit so we can get in early in the day. these whales were beautiful and they seemed happy in their environment i was glad to see that for my favorite display, i d have to go with the penguin display. they had rockhopper and magellanic as we went along, we stopped at the underwater beauty area. ",['Penguin']
"these whales were beautiful and they seemed happy in their environment i was glad to see that for my favorite display, i d have to go with the penguin display. they had rockhopper and magellanic as we went along, we stopped at the underwater beauty area. ",['Special Exhibit']
"before the entrance, there were strips of parking spots available that weren t highly expensive. from there, it was a small walk. unfortunately for us, the weather wasn t too friendly. after we entered the aquarium on the ground level, our tickets were scanned almost immediately. we took an elevator up to the main level after that there were plenty of displays to see at almost every turn i really enjoyed the pacific white-sides dolphin display. the restrooms i used throughout the day were clean the whole place was in general, tidy and clean the customer service i had throughout my visit here was friendly. ",['Staff']
"if you take a trip here, savor it the penguins were my favorite if you take a trip here, savor it the penguins were my favorite i booked tickets for my significant other and i on their website. it was 85 90 for both of our tickets together, so it wasn t cheap. they had me choose a date and specific time to visit, so you should be aware of that i chose 9 am for our visit so we can get in early in the day. before the entrance, there were strips of parking spots available that weren t highly expensive. from there, it was a small walk. unfortunately for us, the weather wasn t too friendly. after we entered the aquarium on the ground level, our tickets were scanned almost immediately. we took an elevator up to the main level after that there were plenty of displays to see at almost every turn i really enjoyed the pacific white-sides dolphin display. ",['Ticket']
"of course, after that i had to check out the beluga whale display. these whales were beautiful and they seemed happy in their environment i was glad to see that for my favorite display, i would have to go with the penguin display. they had rockhopper and magellanic as we went along, we stopped at the underwater beauty area. 99 the monster was 4 99, but crisp and refreshing this was a convenient stop. before we headed out, we stopped at the shedd aquarium store on the main level of the facility. it was a large store with a variety of items to choose from to give insight, i purchased a shedd aquarium mug a shedd aquarium enamel logo magnet and a shedd aquarium beluga keychain. ",['Abbott Oceanarium']
"before the entrance, there were strips of parking spots available that we are not highly expensive. from there, it was a small walk. unfortunately for us, the weather was not too friendly. after we entered the aquarium on the ground level, our tickets were scanned almost immediately. we took an elevator up to the main level after that there were plenty of displays to see at almost every turn i really enjoyed the pacific white-sides dolphin display. besides viewing displays all day, we did get to sit down for a bit at the dolphin show. this show was included with our admission to the aquarium, so with that being said it was a must-see show the dolphins were welltrained and entertaining. we stopped at soundings caf for a break from all of the beautiful scenery it was located in the abbott oceanarium on the ground level i purchased a strawberry fruit smoothie, a peanut butter cookie and a monster energy 16 fl. ",['Abbott Oceanarium']
"i booked tickets for my significant other and i on their website. it was 85 90 for both of our tickets together, so it was not cheap. they had me choose a date and specific time to visit, so you should be aware of that i chose 9 am for our visit so we can get in early in the day. once i completed the purchase online, i was given an e-ticket with my tickets on a scannable code that displayed the date and time for my visit. that was convenient i also downloaded their app this aquarium was relatively close to me, for being what it is. ",['Application']
"before the entrance, there were strips of parking spots available that we are not highly expensive. from there, it was a small walk. unfortunately for us, the weather was not too friendly. after we entered the aquarium on the ground level, our tickets were scanned almost immediately. we took an elevator up to the main level after that there were plenty of displays to see at almost every turn i really enjoyed the pacific white-sides dolphin display. ","['Environmental', 'Others']"
"dang, this was a unique experience. i did not have any issues or encounter anyone with a bad attitude, so that was a plus overall this was a relaxing experience for my significant other and i to do as a couple. ",['Experience']
"these whales were beautiful and they seemed happy in their environment i was glad to see that for my favorite display, i would have to go with the penguin display. they had rockhopper and magellanic as we went along, we stopped at the underwater beauty area. ",['Penguin']
"before the entrance, there were strips of parking spots available that we are not highly expensive. from there, it was a small walk. unfortunately for us, the weather was not too friendly. after we entered the aquarium on the ground level, our tickets were scanned almost immediately. we took an elevator up to the main level after that there were plenty of displays to see at almost every turn i really enjoyed the pacific white-sides dolphin display. the restrooms i used throughout the day were clean the whole place was in general, tidy and clean the customer service i had throughout my visit here was friendly. ",['Staff']
"i booked tickets for my significant other and i on their website. it was 85 90 for both of our tickets together, so it was not cheap. they had me choose a date and specific time to visit, so you should be aware of that i chose 9 am for our visit so we can get in early in the day. before the entrance, there were strips of parking spots available that we are not highly expensive. from there, it was a small walk. unfortunately for us, the weather was not too friendly. after we entered the aquarium on the ground level, our tickets were scanned almost immediately. we took an elevator up to the main level after that there were plenty of displays to see at almost every turn i really enjoyed the pacific white-sides dolphin display. ",['Ticket']
"the check and security sucks it took us over 45 minutes to get to that line even though our plan was to pose leave it left at 2:30. we could not get up there to make it because we were stuck in security so since we missed our flight, we then will put on standby to leave at 6 o'clock to get to houston hobby airport. ",['Crowd']
"none of the people that work here where ever at their stations to discuss anything with me then when they did discuss it with you, they kept telling you to go somewhere else they told me to check i would go jesus o'clock out of sea tin gate lift up then they changed the gate to c 13 without even letting the people that check you in no so i am really upset. my luggage is already in houston it arrived at 4:55. i am stuck in atlanta until they can get us a seat and because it was their fault they can not accommodate you or anything so please if you can drive or you need to go drive thank you ",['Suggestions']
"the dolphin show was worth the ticket price alone it was way bigger than i expected the staff were super helpful with providing us an overview of the exhibits, helping us prioritize/order the exhibits, and got us signed up for the shows. ","['dolphin show', 'Entertainment', 'Price', 'Price', 'Ticket']"
tsa has long lines but all that is to be expected with the busiest airport in the country plan accordingly 2-3 hour is needed ,"['Crowd', 'Security']"
"translated by google not for nothing the largest airport in the world, really gigantic and busy. only now you have 3 hours of driving and 9 hours of flying, not much energy left to do anything except get to the right gate with the shuttle and wait for the next plane. the only thing that stood out was that it is a pepsi airport luckily they also sold other drinks original not for nothing the largest airport in the world, really gigantic and busy. only now you have 3 hours of driving and 9 hours of flying, not much energy left to do anything except get to the right gate with the shuttle and wait for the next plane. ","['Crowd', 'Crowd']"
"translated by google it is worth going, very beautiful original vale a pena ir muito lindo ",['Price']
"but the aquarium is so small one elevator wasn t working and the bathrooms are so gross with all the money they make off the highly priced tickets they should do some upgrading warning if you park in the little lot across for 30 make sure you have you have no valuables in the vehicle, i never leave anything valuable in my car but once i left the shed aquarium i noticed somebody tried getting into my car i had fingerprints over the hood of my car and doors also my car was tagged by the license plate being bent upwards. ","['Bathrooms', 'Price']"
"i took my daughter here yesterday around 1pm it was a decent amount of people not to many the only thing that was nice was being able to touch the starfish and sting ray, and then the dolphin show which lasted about 5-10 minutes which is good for a toddler since they can t sit long. ","['Caribbean Reef', 'Entertainment']"
awesome place be sure to get tickets and parking ahead of time online- saves a ton of time ,"['Application', 'Parking']"
